MedInc,HouseAge,AveRooms,Latitude,Longitude,target
5.4322,35.0,6.903465346534653,37.51,-122.3,3.91
4.4444,16.0,6.2555555555555555,38.35,-122.69,1.918
2.9479,22.0,5.222493887530562,34.6,-120.14,2.431
4.425,26.0,5.123134328358209,32.85,-117.27,4.75
1.1985,39.0,3.879021879021879,33.99,-118.41,2.15
2.1414,46.0,2.8577319587628867,34.05,-118.3,1.577
2.2348,33.0,3.6658259773013873,34.09,-118.17,1.466
3.2093,32.0,4.788405797101449,33.98,-118.07,1.678
4.2324,9.0,6.118727050183598,38.34,-121.95,1.421
1.7813,29.0,4.648578811369509,36.43,-119.69,0.579
3.0149,52.0,4.276639344262295,37.8,-122.25,2.184
1.7038,28.0,4.598774885145483,41.73,-124.22,0.783
5.2174,5.0,7.306956521739131,33.95,-117.21,1.555
2.3567,26.0,2.2928286852589643,34.07,-118.29,2.531
2.5192,28.0,4.345360824742268,34.04,-117.97,1.573
4.1312,35.0,5.091787439613527,34.08,-117.92,1.852
3.8235,10.0,5.34593837535014,36.32,-119.35,0.946
3.5357,22.0,4.859504132231405,34.05,-118.09,1.99
2.6902,17.0,6.035294117647059,36.8,-119.24,0.944
1.808,26.0,3.92512077294686,33.76,-118.09,0.585
3.375,24.0,5.58203125,40.76,-124.15,1.006
4.6674,16.0,5.722154222766218,32.84,-116.92,1.78
2.4583,31.0,5.325925925925926,34.65,-120.47,1.281
0.8054,52.0,2.903225806451613,35.38,-119.02,0.6
3.1579,22.0,3.673186119873817,34.0,-118.44,2.431
5.8855,18.0,6.535809018567639,33.87,-118.05,3.138
2.2442,42.0,4.795258620689655,34.14,-117.91,1.667
3.2574,30.0,4.186335403726708,33.88,-118.3,1.953
6.2073,5.0,7.184633027522936,38.0,-122.26,2.729
6.5704,26.0,6.239221140472879,33.76,-118.31,4.147
4.5701,5.0,5.965317919075145,37.65,-121.05,1.464
7.8193,33.0,6.881533101045296,34.28,-118.52,3.796
5.5787,42.0,6.306451612903226,33.93,-118.31,1.42
3.6917,35.0,6.047808764940239,33.91,-118.12,1.975
3.0,5.0,5.484725050916497,36.08,-119.07,0.71
4.4583,30.0,5.784070796460177,38.0,-121.82,1.31
3.7988,14.0,4.180473372781065,33.69,-117.77,1.841
0.8836,30.0,2.662280701754386,37.8,-122.41,4.5
4.0433,13.0,6.996116504854369,33.73,-116.93,1.323
5.6013,35.0,5.771428571428571,33.83,-118.36,3.502
7.598,21.0,6.562162162162162,37.27,-121.99,3.478
2.375,26.0,6.0,35.87,-120.13,0.713
5.2145,28.0,6.807407407407408,37.96,-121.96,2.292
2.8672,30.0,4.635616438356164,34.06,-118.13,1.985
6.9343,2.0,8.091954022988507,33.56,-117.7,2.985
4.7019,35.0,4.991769547325103,37.63,-122.09,1.741
1.775,40.0,2.6875,37.82,-122.27,1.125
2.9965,20.0,5.839160839160839,39.49,-121.49,0.889
5.5,30.0,6.004651162790697,33.79,-118.26,1.815
5.0346,16.0,6.342696629213483,33.15,-117.14,1.746
4.3375,31.0,6.240121580547113,37.7,-122.09,2.418
2.3221,44.0,4.743362831858407,33.96,-118.2,1.616
2.2402,34.0,3.1626187961985215,34.02,-118.42,4.5
3.0391,20.0,5.59877800407332,36.41,-118.86,1.397
3.5455,31.0,5.084615384615384,33.92,-118.09,1.683
4.0223,33.0,5.047520661157025,34.3,-118.43,1.46
3.94,31.0,5.0903846153846155,34.1,-118.03,2.239
3.1563,22.0,8.420689655172414,36.85,-121.91,3.0
3.2344,14.0,5.248730964467005,34.08,-117.69,1.282
3.6806,35.0,6.701657458563536,32.81,-117.16,1.724
4.9618,7.0,6.153905645784996,38.0,-121.72,1.565
5.0839,36.0,6.221719457013575,33.89,-118.02,1.982
6.0891,5.0,5.469594594594595,32.91,-117.16,2.146
1.6559,48.0,5.161662817551963,33.99,-118.31,1.014
2.5909,17.0,4.871478873239437,38.66,-121.33,1.254
2.4167,37.0,5.121359223300971,34.09,-117.89,1.813
3.3393,45.0,4.256997455470738,37.76,-122.5,2.723
6.8088,20.0,6.737878787878788,37.26,-121.9,2.833
6.3298,16.0,5.618491921005386,33.7,-117.79,2.471
3.9338,36.0,4.9125,37.64,-122.08,1.827
4.2,35.0,4.49820788530466,33.86,-118.11,2.269
4.2708,24.0,4.882943143812709,34.31,-118.46,2.182
2.2813,29.0,3.4463971880492092,32.75,-117.14,1.181
3.4875,31.0,5.199186991869919,32.69,-117.08,1.17
3.8056,36.0,4.651488616462347,33.76,-117.89,1.772
3.79,52.0,4.643867924528302,32.74,-117.12,1.634
3.9728,28.0,4.433806146572104,37.57,-122.34,3.0
3.7206,12.0,6.469302809573361,38.04,-121.35,1.46
6.4001,16.0,6.131661442006269,34.14,-118.83,3.218
4.7708,36.0,5.106280193236715,34.07,-117.92,1.917
4.9833,32.0,6.461077844311378,34.26,-118.28,2.13
1.6168,14.0,4.413314840499306,36.74,-120.04,0.718
4.0132,26.0,5.904109589041096,38.33,-122.31,1.747
4.1739,40.0,4.51063829787234,37.79,-122.2,1.696
3.1702,25.0,4.316570486397362,37.34,-121.95,2.561
2.8194,33.0,6.275401069518717,34.71,-118.14,0.93
4.8667,14.0,6.925742574257426,34.51,-118.07,2.399
4.3833,6.0,7.562753036437247,33.56,-117.1,3.076
3.9323,5.0,6.017738359201774,38.15,-121.32,1.301
4.1406,44.0,5.289817232375979,37.29,-121.88,2.741
5.4872,7.0,6.774685222001326,33.91,-117.59,2.034
4.2132,37.0,4.964285714285714,33.9,-118.09,1.646
3.1217,37.0,5.179906542056075,38.4,-122.83,1.785
6.174,52.0,7.639830508474576,37.9,-122.27,3.588
2.502,33.0,4.686274509803922,39.51,-121.54,0.621
6.2631,19.0,7.03690036900369,37.74,-121.95,2.66
3.1543,29.0,4.933949801849406,36.61,-121.92,2.538
2.8194,8.0,5.759776536312849,33.85,-117.24,1.363
3.4279,25.0,5.6909090909090905,36.81,-119.77,0.847
2.474,17.0,5.729681978798586,37.97,-120.3,1.201
2.3917,30.0,3.5786516853932584,33.97,-118.2,1.546
6.4524,25.0,6.925925925925926,37.67,-121.88,2.969
5.0754,44.0,5.196280991735537,34.15,-118.4,3.745
3.395,17.0,3.701399688958009,37.69,-122.13,2.713
2.5268,19.0,4.48488241881299,37.94,-122.06,2.357
4.4063,35.0,5.126506024096385,37.24,-121.97,4.361
1.8801,38.0,4.6502732240437155,35.37,-119.01,0.578
6.5268,30.0,6.034246575342466,34.23,-118.48,2.731
5.7763,14.0,6.847746650426309,33.99,-117.72,2.067
3.8047,13.0,4.079741379310345,37.26,-121.88,2.047
2.0724,35.0,4.494915254237288,37.96,-122.35,0.977
1.2292,52.0,2.3401360544217686,32.72,-117.15,1.375
5.4333,29.0,7.233766233766234,32.78,-116.99,2.228
6.5645,31.0,6.607973421926911,32.76,-117.0,1.891
1.9327,10.0,5.7894736842105265,38.57,-121.92,1.938
3.9185,12.0,6.625441696113074,39.05,-121.03,1.952
2.6823,28.0,5.427184466019417,39.78,-121.63,0.934
3.4107,29.0,4.256756756756757,34.13,-117.86,1.708
1.875,18.0,4.285198555956678,35.96,-119.04,0.517
2.0651,14.0,3.4905008635578585,38.46,-122.73,1.354
3.0352,41.0,5.400900900900901,37.97,-121.26,0.698
4.0268,44.0,5.657718120805369,32.74,-117.24,2.986
4.25,10.0,5.301397205588822,35.61,-117.64,0.832
3.9844,43.0,5.961988304093567,37.66,-121.0,1.52
4.375,33.0,5.439897698209719,34.18,-118.44,2.861
3.9107,27.0,5.572815533980583,34.04,-117.68,1.865
4.2212,52.0,4.506696428571429,37.74,-122.42,2.713
4.7794,26.0,6.003597122302159,37.44,-121.91,2.258
2.0817,41.0,2.2724137931034485,34.04,-118.29,1.325
4.8611,29.0,5.950177935943061,33.8,-117.93,2.319
2.6172,21.0,5.2719665271966525,32.8,-115.48,0.885
5.8914,26.0,5.938616071428571,33.79,-118.03,2.376
0.8941,33.0,4.964285714285714,34.06,-118.18,0.982
1.8403,47.0,4.723463687150838,35.42,-119.04,0.547
2.5089,52.0,4.989730423620026,37.65,-121.0,1.19
3.7109,35.0,4.912332838038633,33.95,-117.39,1.091
2.5197,35.0,3.4686868686868686,34.2,-118.44,2.256
4.5,35.0,5.450757575757576,37.71,-122.43,2.669
1.625,38.0,4.616766467065868,36.97,-120.06,0.528
3.0357,23.0,4.470219435736677,34.09,-117.66,1.515
3.8616,8.0,6.19,38.55,-122.82,1.951
3.0227,16.0,4.5152542372881355,33.87,-117.87,2.971
3.6859,52.0,5.415011037527594,37.74,-122.48,3.118
3.3036,26.0,5.45303867403315,38.36,-121.82,2.1
5.1896,14.0,6.170984455958549,36.31,-119.29,1.019
4.5461,42.0,5.629032258064516,34.16,-118.08,2.424
4.0061,30.0,5.3241525423728815,33.85,-117.97,1.829
3.7933,25.0,4.648183556405353,33.93,-117.93,1.844
3.5345,52.0,4.513207547169811,40.47,-124.1,0.55
1.9286,26.0,4.212643678160919,34.29,-119.3,1.605
3.1645,37.0,6.345794392523365,37.52,-121.14,1.708
2.9312,25.0,4.5,33.79,-117.83,2.201
3.2303,17.0,4.783613445378151,39.17,-121.02,1.495
4.4375,26.0,6.442724458204334,38.45,-122.66,2.935
2.8784,36.0,3.7278797996661104,34.18,-118.36,1.949
3.3438,31.0,5.40418118466899,36.59,-119.73,0.926
3.1667,22.0,3.8038379530916844,33.66,-117.9,1.61
1.9107,15.0,5.951923076923077,40.79,-123.48,0.792
2.3224,29.0,5.186915887850467,39.36,-121.69,0.562
3.292,28.0,4.444891980959356,34.13,-118.06,2.273
3.2464,26.0,5.496774193548387,35.26,-120.68,2.08
4.0057,37.0,5.489270386266094,34.24,-118.43,1.727
3.8162,36.0,5.274406332453826,33.82,-118.11,2.219
4.9792,26.0,5.663316582914573,37.13,-122.07,2.4
3.6583,13.0,6.309711286089239,38.52,-122.85,1.832
7.6526,29.0,7.01432664756447,33.84,-118.15,4.813
6.0889,22.0,6.494103773584905,37.23,-121.83,2.452
5.7817,26.0,7.1002178649237475,33.82,-117.83,2.676
4.0313,31.0,5.108387096774194,33.42,-117.61,2.82
1.625,19.0,6.8545454545454545,32.75,-115.64,1.125
1.9698,12.0,4.286624203821656,38.0,-121.29,1.123
2.2679,32.0,3.549019607843137,34.22,-118.38,1.5
2.8594,45.0,3.455072463768116,37.33,-121.88,2.059
4.0294,41.0,7.472527472527473,38.61,-122.82,2.017
2.1696,36.0,4.1675,34.09,-118.16,1.708
3.851,10.0,4.936789449749886,33.97,-117.71,1.372
2.1389,35.0,3.09727626459144,34.44,-119.83,2.6
6.5372,52.0,7.166666666666667,37.75,-122.46,3.94
3.625,36.0,6.569060773480663,38.18,-122.8,2.531
4.0526,36.0,5.639506172839506,33.95,-117.43,1.045
1.0,45.0,4.0,39.2,-121.07,0.906
4.1947,26.0,4.974960876369327,37.53,-121.98,2.227
4.2672,47.0,4.650793650793651,37.72,-122.4,2.194
1.7701,26.0,2.666082383873795,33.78,-118.18,1.462
4.6944,26.0,5.375438596491228,38.55,-121.38,1.309
5.0106,36.0,5.529220779220779,33.86,-118.14,2.108
3.2813,45.0,5.934579439252336,36.8,-119.99,1.054
4.7071,27.0,5.163398692810458,36.95,-121.75,2.027
4.0781,26.0,6.367924528301887,38.64,-122.94,2.878
3.4427,30.0,4.68760907504363,34.09,-117.96,1.608
2.4167,26.0,5.0,36.07,-119.03,0.776
3.5517,42.0,4.884272997032641,34.05,-118.32,2.915
2.1513,8.0,8.117845117845118,40.61,-121.67,0.804
7.3445,13.0,7.8977272727272725,37.89,-121.93,3.667
0.9437,52.0,2.611111111111111,38.44,-122.72,1.292
5.0853,26.0,5.916496945010183,33.68,-117.89,2.603
5.6159,28.0,6.34965034965035,34.18,-118.58,3.405
4.1652,37.0,5.205673758865248,37.64,-122.06,1.582
3.1667,44.0,4.716374269005848,33.93,-118.19,1.457
1.6513,37.0,4.5,33.95,-118.24,0.902
6.2242,13.0,6.121320890165111,33.65,-117.66,2.379
4.8264,36.0,5.059259259259259,34.18,-118.56,2.51
4.25,40.0,4.691747572815534,33.71,-118.29,3.328
2.3882,47.0,4.364085667215815,33.98,-118.34,1.377
4.9125,38.0,6.501766784452297,32.73,-117.25,3.836
3.5052,26.0,4.835457705677868,33.9,-118.11,1.96
3.8684,38.0,4.515951595159516,37.49,-122.24,2.656
4.4637,31.0,5.88735632183908,34.11,-117.62,1.928
