MedInc,HouseAge,AveRooms,Latitude,Longitude,target
6.2187,37.0,6.250922509225092,33.81,-118.11,2.579
5.4088,39.0,6.543165467625899,34.18,-118.56,4.573
2.625,40.0,4.192592592592592,33.98,-118.18,2.063
4.5769,32.0,6.34113712374582,34.48,-117.96,1.594
2.125,38.0,3.7598647125140925,34.0,-118.28,1.188
3.6181,34.0,6.446902654867257,36.96,-120.07,0.965
2.4677,49.0,3.7938553022794848,34.09,-118.28,2.192
1.9286,38.0,2.7142857142857144,34.08,-118.29,1.375
3.2049,25.0,4.530254777070064,33.88,-118.36,2.674
2.2165,32.0,4.395397489539749,35.3,-120.67,2.317
1.4464,17.0,5.431034482758621,37.65,-120.46,0.792
3.9356,4.0,4.622317596566524,32.86,-117.2,2.67
3.3611,23.0,5.326923076923077,37.63,-122.06,1.692
2.2083,52.0,4.107438016528926,34.03,-118.21,1.463
3.35,23.0,5.582491582491582,39.7,-122.18,0.854
2.9542,15.0,6.074581430745814,33.85,-117.3,1.279
2.2357,30.0,5.152406417112299,40.5,-124.1,0.723
3.0469,20.0,5.656,39.74,-122.16,0.85
2.0708,28.0,6.3710407239819,38.92,-119.98,0.896
3.7917,23.0,5.624423963133641,34.63,-120.47,1.422
3.2083,46.0,5.531468531468532,33.99,-118.33,1.496
1.4329,21.0,3.0577617328519855,33.93,-118.28,0.941
5.3146,33.0,5.201183431952662,33.92,-118.09,1.686
6.9935,22.0,6.9826451226810295,34.14,-118.82,3.855
2.1944,33.0,4.567415730337078,33.93,-117.93,1.396
2.1571,47.0,4.446428571428571,34.03,-118.3,1.479
6.1592,46.0,6.889361702127659,37.75,-122.47,3.817
3.6645,16.0,6.014018691588785,38.47,-121.13,2.034
5.7819,19.0,6.178885630498534,38.5,-122.63,2.656
0.844,26.0,3.6835664335664338,34.03,-118.28,3.5
3.6953,14.0,4.877419354838709,38.66,-121.36,1.161
2.5389,47.0,5.346072186836518,38.54,-121.44,0.757
5.3886,23.0,5.933760683760684,33.71,-118.02,3.319
3.75,18.0,5.7538644470868014,38.5,-122.79,2.483
3.8393,35.0,5.5688775510204085,37.72,-122.13,2.435
5.4847,36.0,5.735562310030395,34.17,-118.59,2.96
2.7368,29.0,5.181034482758621,38.49,-121.5,0.782
6.1185,26.0,7.069343065693431,38.66,-121.19,1.792
3.5288,42.0,5.31960049937578,36.66,-121.65,2.21
3.5938,44.0,5.047970479704797,33.92,-118.16,1.613
4.75,37.0,5.235632183908046,37.33,-121.94,2.511
4.7731,34.0,5.837777777777778,33.78,-117.94,1.992
3.7083,52.0,4.3585313174946005,37.76,-122.5,3.077
4.2015,52.0,4.163021868787276,37.8,-122.4,4.125
2.0347,20.0,6.64,33.49,-115.84,0.689
1.5625,33.0,3.623456790123457,36.61,-119.53,0.558
2.6667,36.0,5.092356687898089,38.43,-122.75,1.491
5.359,16.0,8.116279069767442,32.97,-116.67,1.938
2.4375,19.0,6.0368663594470044,36.54,-119.84,0.782
4.5263,33.0,6.552380952380952,33.79,-117.99,1.69
3.3107,26.0,5.0552147239263805,33.74,-116.22,0.694
5.5057,32.0,6.007042253521127,38.09,-121.35,1.472
5.6965,25.0,6.144244105409154,37.42,-121.87,2.611
4.4432,35.0,5.322077922077922,34.23,-118.43,1.815
6.213,50.0,6.866666666666666,34.21,-118.23,2.85
5.5681,15.0,6.359848484848484,34.17,-118.94,2.356
1.767,15.0,4.436893203883495,36.59,-119.43,0.633
3.851,16.0,6.912408759124087,35.17,-120.43,3.15
6.3364,48.0,6.467576791808874,33.84,-118.13,3.074
5.9339,15.0,6.361313868613139,33.51,-117.64,2.86
3.2216,36.0,5.319796954314721,36.92,-121.76,2.383
1.9779,49.0,4.971731448763251,33.99,-118.32,1.142
3.7784,25.0,5.928571428571429,32.95,-117.02,1.601
2.3006,23.0,5.0817460317460315,36.76,-119.72,0.69
4.5221,16.0,6.125,37.22,-121.77,1.911
2.3056,29.0,4.903726708074534,33.95,-118.27,0.985
1.5642,15.0,4.403292181069959,36.62,-119.32,0.515
2.3783,28.0,5.023684210526316,37.68,-121.04,0.814
4.7083,15.0,7.918057663125948,38.68,-121.09,2.133
3.1235,17.0,3.600263852242744,34.04,-118.46,4.208
3.8668,45.0,5.460949464012251,34.18,-118.34,2.32
3.2167,17.0,5.473214285714286,34.64,-120.45,1.125
2.7993,37.0,4.422062350119904,37.47,-122.15,1.455
3.6625,22.0,5.747474747474747,39.75,-121.87,1.266
2.7917,34.0,4.4366925064599485,38.55,-121.73,1.308
3.1406,40.0,4.341145833333333,34.05,-118.31,4.176
2.3792,19.0,5.1875,36.1,-118.93,0.9
3.0573,38.0,4.757363253856942,38.07,-122.55,3.508
5.0155,19.0,5.468208092485549,38.68,-121.47,0.973
5.208,46.0,6.09480122324159,37.11,-122.11,2.068
5.2831,52.0,5.4909560723514215,37.33,-121.92,2.995
5.1674,20.0,5.154491017964072,37.35,-122.0,3.33
2.1023,12.0,4.119906868451688,33.94,-117.45,1.037
1.7567,8.0,4.4851729818780885,34.59,-117.42,0.695
6.516,32.0,7.515151515151516,37.92,-122.29,4.01
7.5197,42.0,4.24,38.22,-122.28,2.75
5.6163,33.0,6.419148936170213,34.19,-118.64,2.484
3.0139,39.0,5.175732217573222,36.63,-119.68,0.653
3.7188,8.0,5.010213277260439,38.62,-121.5,1.345
4.1603,17.0,4.3907284768211925,33.7,-117.98,1.605
5.8659,52.0,6.399317406143345,34.11,-118.31,4.333
5.0092,24.0,6.487804878048781,37.97,-121.97,2.441
4.1103,8.0,5.385964912280702,33.65,-117.83,2.504
2.6607,16.0,6.151468315301391,32.82,-117.11,1.75
5.7396,16.0,6.653846153846154,36.97,-121.59,3.087
2.7243,31.0,4.114942528735632,37.91,-122.31,2.181
4.207,42.0,5.30609597924773,37.64,-122.43,2.727
2.1542,27.0,3.182142857142857,32.66,-117.1,1.063
3.1103,20.0,6.618497109826589,37.32,-121.95,2.819
1.9309,31.0,3.8973029045643153,33.94,-118.33,1.375
2.0817,43.0,3.3198924731182795,34.01,-118.27,1.133
6.314,9.0,8.146896127842655,38.7,-121.06,2.289
6.2452,21.0,7.365714285714286,33.93,-117.91,2.917
3.9766,8.0,5.6284329563812605,34.53,-117.9,1.358
3.5,9.0,5.050153531218014,36.92,-121.77,1.948
2.1658,29.0,5.777448071216617,39.5,-121.58,0.576
2.918,39.0,3.8917378917378915,34.0,-118.46,3.456
6.2247,36.0,6.088737201365188,33.82,-118.36,3.39
2.3365,34.0,4.46606334841629,33.95,-118.27,0.98
1.9152,44.0,2.7183811129848228,34.05,-118.3,1.156
4.0096,5.0,5.061293984108967,34.04,-117.69,1.826
3.8292,36.0,6.694980694980695,34.15,-117.28,1.222
